夹,ngeh
顾虑,koo li
团圆,thuan uan
美钞,bi tshau
余款,i khuan
孤苦,koo khoo
家乡,ka hiong
分得,hun tit
半子,kiann sai
擡轿,kng kio
出炉,tshut sng
雅观,nga kuan
窃取,thau theh
裂璺,ham he
画纸,ue tsua
刺客,tshi khik
海风,hai hong
定数,ting soo
交涉,pi tsiap
家具,ka khu
商谈,siong tam
监禁,kam kim
少女,siau lu
政委,tsing ui
绝种,khut tsing
水泡,tsui pha
巨匠,ki tshiunn
风评,siau sit
脚本,kha pun
借宿,tsioh hioh
鼻炎,phinn iam
业余,giap u
糯米,tsut bi
受热,luah tioh
接应,tsiap ing
番社,huan sia
看去,khuann khi
安详,an ling
升火,kik he
意下,i ha
卷毛,khiu mng
后方,be au
安顿,an tun
腐烂,hu nua
促使,tshiok su
捞钱,thio tsinn
笑料,tshio khe
芥菜,kua tshai
门路,suann loo
匹配,phit phue
过来,ke lai
并重,penn tang
陪坐,phuann tse
桃源,tho guan
山冈,suann thau
分心,hun sim
褒奖,po tsiang
全文,tsuan bun
求才,kiu tsai
细则,se tsik
搭讪,tsioh ue
凿子,tsam a
肌肤,ki hu
长肉,sinn bah
轮胎,thai iah
大公,tai kong
垫肩,tsu king
石矿,tsioh khong
铁笔,khik to
痛经,king hong
磁性,tsu sing
照开,tsiau khui
县学,kuan hak
厚道,koo i
光景,king ti
适时,hah si
溃疡,senn tshng
鳝鱼,sian hi
花纹,hue tshau
瘾头,hing thau
新安,sin an
勾结,kau kiat
租子,tue se
扶掖,hu tshah
憨厚,lau sit
下颚,e gok
新丰,sin hong
货主,he tsu
黑枪,am tshing
难做,oh tsue
打住,tshe pai
港口,be thau
梧栖,goo tshe
易经,iah king
平分,kong ke
装饰,phe king
小鬼,siau thiau
贼船,tshat tsun
精工,tsing kang
碱粉,kinn hun
政体,tsing the
成材,tsiann mih
扩建,khok kian
顺风,sun hong
异物,i but
吓死,kiann si
妙计,biau ke
嗓音,siann mng
预言,tsham kong
来由,in iu
袈裟,ka se
司马,su ma
桌椅,toh i
欠税,khiam se
守住,tsiu tiau
孩童,hai tong
麻木,ba pi
金陵,kim ling
便有,tioh u
印刷,in suat
深夜,puann mi
著触,tioh tak
王朝,ong tiau
哲人,tiat jin
连续,tsiap siok
直达,tit tat
搬动,puann un
大方,kong loo
海盗,hai to
餐厅,tshan thiann
井边,tsinn pinn
芸香,tshau tshau
自己,tsu ki
热毒,liat tok
失掉,sit khi
撞车,khap tshia
毽子,kian tsu
土匪,thoo hui
成仁,sing jin
照样,tsiau khuan
启发,khe huat
处死,tshu si
头颅,thau nau
经由,loo kue
并进,ping tsin
涉足,siap tsiok
卖力,piann se
晚潮,am lau
口红,tun hong
槌球,thui kiu
丧气,oh loh
介于,kai u
憎恶,gin siau
末端,be liu
真皮,ji nng
服从,hok tsiong
趁虚,siong khang
便桥,pian kio
必须,pit su
土魠,thoo thoh
抵消,ti siau
当铺,tng tiam
臌症,koo tiong
恐怕,khiong kiann
上等,siang ho
老式,ku sik
若要,na beh
补选,poo suan
山脉,suann nia
抽屉,thuah a
海鲢,hai lian
展现,tian hian
牲畜,tsing senn
电影,iann hi
分解,hun kai
草绳,tshau soh
达观,khuann phua
把牢,tiam ting
慢著,ban tsiah
放大,ham tua
自决,tsu kuat
当票,tng phio
吐丝,kinn si
报纸,sin bun
留置,tau liu
拾获,khioh hik
遗作,ui tsok
赎金,siok khuan
研判,gian phuann
决策,kuat tshik
泄底,lau te
懂得,e hiau
美谈,bi tam
估量,iak liong
宵禁,siau kim
渡过,too kue
艺坛,ge tuann
辽阔,khong khuah
悠久,ku tng
麋鹿,bi lok
客人,kheh hoo
迁入,tshian jip
蛋壳,nng khak
天时,thian si
生为,sinn tso
好险,ho hiam
缺钱,khiam tsinn
煎锅,tsian puann
石虎,suann niau
按下,an ha
表态,piau thai
搅乱,kiau luan
有劲,u lat
信用,siang sin
中华,tiong hua
标示,piau si
母系,bo he
夜班,am pan
皮包,phue pau
捣鬼,pinn bang
开蒙,phua oh
犯嘴,tak tshui
芎林,kiong na
红蚁,ang hia
电光,tian kong
肺腑,hui hu
泡子,tian tsu
以上,i siang
懊郁,au ut
客观,kheh kuan
阁揆,koh kui
嘶哑,e siann
小月,geh sue
钢筋,thih ki
风向,hong hiong
立法,lip huat
循序,sun su
其他,pat hang
复审,hok sim
麻粩,mua lau
人文,jin bun
明镜,bing kiann
病人,huan tsia
拿乔,kik khui
恭桶,tshio thang
首领,thau lang
纯良,sun liang
乱想,thoo siunn
料理,huat loh
确实,sit tsai
加倍,siang ting
推辞,ki tsuat
包括,pau kuat
归宁,tso kheh
传世,thuan se
朱鹭,ang hoh
怕事,ui su
铜丝,tang si
辅选,hu suan
剪布,tsian poo
房簷,ni tsinn
青色,na sik
传奇,thuan ki
七美,tshit bi
西安,se an
唯一,i it
岂有,kam u
邻近,lin kin
达成,tat sing
巴黎,pa le
磁带,tsu tua
相向,sann ng
科别,kho piat
断交,tuan kau
芒硝,bong siau
专门,tsuan too
贪污,tham u
添重,thinn tang
提头,the thau
突然,tut lian
突然,tut jian
史家,su ke
听任,ki tsai
台独,tai tok
提取,the tshu
过费,siunn sng
大局,tai kiok
竹屏,pin a
乌麻,oo mua
砍掉,tsho tiau
医术,i sut
山楂,sian tsa
风铃,thih be
狭长,ueh tng
基地,ki te
搭上,tse tioh
违规,ui kui
担当,tann thau
记帐,ki siau
改动,sua tang
分机,hun ki
臭名,au mia
肯读,khing thak
口臭,tshui tshau
鱼松,hi hu
罗兰,lo lan
过重,kue tang
中饱,pa too
吹牛,peh tshat
掌握,tsiang ak
罗致,lo ti
外貌,gua pan
吃相,tsiah siang
勤快,khun khuai
香烛,hiunn tsik
鼩鼱,tsinn tshi
定约,ke tiann
风向,hong se
见效,kian hau
祀灶,sang sin
中型,tiong hing
三合,sann hap
主人,tsu lang
昏倒,hun be
风色,se bin
弹奏,tuann tsau
石榴,siah liu
还手,hue tshiu
领收,nia siu
电工,tian kang
下葬,lok thoo
闪耀,siam sih
演变,ian pian
不慎,put sin
有益,u ho
侵略,tshim liak
遶境,tshai ke
行商,hing siong
热病,jiat pinn
渣滓,tse tai
雨脚,hoo kha
呈报,thing po
影响,tsok iong
单车,tan tshia
舞狮,thiau sai
陆路,liok loo
空前,khong tsian
夫妹,sio koo
经销,king siau
惩罚,tshu huat
疯癫,hong tian
检举,kiam ku
过错,ke tsho
吐酒,tshut tsiu
后堂,hio tsin
虚拟,hi gi
民俗,bin siok
陪伴,pue phuann
那些,hia e
名胜,bing sing
心疼,m kam
食物,sit but
驼鸟,to tsiau
脱水,hat tsui
打食,tho tsiah
乳酸,ling sng
画廊,ue long
余额,tshun giah
端的,kau te
贴底,tah te
东部,tang poo
红鹤,tsu loo
路冲,loo tshiong
暑假,su ka
防止,hong tsi
柴火,tsha tshau
俨如,tsin siang
专修,tsuan siu
赶工,kuann kang
兴败,hing pai
病院,pinn inn
农田,long tian
六龟,lak ku
豆粕,tau phoh
下饭,phue png
午时,goo si
滑头,kui tsinn
跌交,puah to
纯粹,sun lian
记忆,ki ti
未尝,be bat
溪底,khue tue
明月,bing guat
形式,hing sik
以下,e kha
鸡瘟,kue tse
相关,siang kuan
起义,khi gi
之交,tsi kau
总管,tsong kuan
姊妹,tsi mue
寒带,han tai
罪证,tsue tsing
不等,put ting
全国,tsuan kok
作曲,tsok khik
倒腾,ping bue
顶楼,ting lau
月半,gueh puann
伺候,khuan thai
进攻,tsin kong
坐牢,tse lo
滥伐,lam huat
得以,thing ho
沟涧,khe kau
饮食,lim tsiah
竹围,tik ui
主导,tsu to
劲旅,king lu
省政,sing tsing
柔美,liu bi
诊所,tsin soo
余裕,liang sing
瞧见,khuann tioh
失足,sit kha
海产,tsui san
友善,iu sian
藕粉,ngau hun
难办,hui khi
稀奇,hi han
时节,thinn si
纵容,thing sing
家信,ka phe
口琴,khau khim
挂帐,ki siau
工职,kang tsit
原本,kin pun
髂骨,io kut
三牲,sing le
表姐,piau tse
信袋,phe lok
喷桶,suan thang
驻华,tsu hua
矿物,khong but
母法,bo huat
单月,tan gueh
典卖,tian be
益友,ik iu
冠军,kuan kun
丝参,tshiu kam
改天,ling jit
打鱼,liah hi
游泳,siu tsui
商行,hang kau
星马,sing ma
乡民,hiong bin
奢华,tshia hua
雀斑,oo pan
干活,tsoh sit
法官,huat kuann
贵客,kui kheh
有时,u si
开口,khui tshui
偏枯,puan sui
牌匾,pai pian
居然,king lian
叶鞘,kah hah
神农,ioh ong
酥饼,tshe piann
灵前,ling tsing
连连,lian lian
谩骂,sau phi
报税,po se
信函,sin ham
远眺,uan thiau
广播,poo sang
枢机,tshu ki
髑髅,koo loo
相互,hoo siang
腌肉,ian bah
偎依,i ua
针黹,tsiam tsi
居留,ki liu
美展,bi tian
创出,tshong tshut
端方,si tsiann
连坐,lian tso
鲜美,tshenn tinn
丧胆,sit tann
扁嘴,pinn tshui
走话,lau ue
日语,jit gu
黑市,oo tshi
离家,li ka
做人,tsue lang
横暴,ong ia
引领,in ling
活力,uah lik
连胜,lian sing
浑朴,phoh sit
瘪瘪,poo poo
华府,hua hu
抱定,pho ting
专业,tsuan giap
忍耐,jim siu
做对,tsue tui
开业,khui tshi
抢滩,tshiunn than
岁数,ni ki
停灵,thing ling
伤痛,pi ai
燐肥,pui tan
裱金,pue kim
芬兰,hun lan
开刀,khui to
滑润,kim kut
几天,kui kang
下端,e thau
邪念,sia sim
疲弱,phi jiok
房间,tshim sik
浓稀,kho ka
侮辱,tsau that
走道,hang loo
小马,sio be
袖套,ng tho
锣鼓,lo koo
楔子,kiau tiunn
擡摃,tsenn tshui
胆量,tam liong
彼得,pi tik
对上,tui siong
过量,ke liong
闪躲,siam pi
壁报,piah po
碗盘,uann ti
求诊,kiu tsin
妇女,tsa boo
源源,tsiap siok
带鱼,peh hu
冬笋,tang sun
孙女,sun li
岔流,pun lau
不是,m si
警惕,king kak
换钱,uann tsinn
显然,hian jian
给水,kip tsui
月票,geh phio
油桐,iu tong
明堂,tshim tsinn
有限,iu han
先驱,sian hong
爱神,ai sin
领路,tai loo
仔细,ting tsin
稿件,ko kiann
名词,bing su
前锋,tsian hong
预先,u sian
老少,lau tsinn
权益,khuan ik
先头,tai sing
双园,siang hng
沿岸,ian huann
蔓衍,sinn thuann
安定,un ting
转租,tsuan tsoo
漏夜,thau me
认识,jin sik
种族,tsiong tsok
鸭掌,ah tsiong
秋冬,tshiu tang
往往,ong ong
树杈,tshiu ue
冰块,ping kak
短针,te tsiam
助长,tsoo tiong
电气,tian khi
香花,phang hue
垂柳,liu tshiu
重播,ting poo
事态,su thai
毕竟,pit king
老鼠,tsinn tshi
含冤,ham uan
庸医,iong i
找齐,poo tsue
唇裂,khih tshui
凝神,tsu sin
原任,guan jim
搬家,puann ui
扁钻,pinn tsng
热气,jiat khi
卷尺,kng tshioh
压扁,teh pinn
精心,tsing sim
干裂,ta pit
避孕,pi in
路口,loo khau
险路,hiam loo
效用,kiann khi
脱掉,thuat bian
一致,it ti
砂囊,sua te
鱼翅,hu tshi
面食,mi sit
砍刀,tsha kueh
掩藏,ng khng
负债,hu tse
分销,hun siau
治水,ti sui
舆论,i lun
月蚀,geh sit
正梁,tiong tsit
静宜,tsing gi
恼恨,khi kue
至于,tsi i
阵仗,si bin
痲疯,lah sap
汽车,hong tshia
卑劣,pi phi
长期,tng mng
小偷,tshat a
吃惊,kiann hiann
安平,an ping
橱柜,tu thuah
事物,su but
有赖,tioh kho
萝卜,ang tshai
驱迫,pik kuann
米砻,bi king
衣著,sann tshing
剪接,tsian tsiap
坏球,phainn kiu
铿锵,khing khiang
脆骨,nng kut
柜台,kui tai
礼聘,le phing
豆类,tau lui
内墙,lai tshiunn
窝藏,o ka
载满,tsai mua
炊烟,he hun
待查,thai tsa
总之,tsong tsi
协理,hiap li
地支,tue tsi
分局,hun kiok
考古,kho koo
人犯,jin huan
滋芽,huat ge
少妇,siau hu
还没,iau be
校方,hau hong
位数,ui soo
好恶,hoonn oonn
宴客,tshiann toh
竹篓,tik loo
毛发,thau mng
破除,pho ti
牙缝,khi phang
毛皮,phue tshau
爱恨,ai hun
老株,lau tsang
铅弹,ian tsi
平仄,pinn tseh
数值,soo tit
朱蕉,thih tshiu
本性,kin te
洗劫,sue kiap
船运,tsun un
摆布,pai puah
著作,tu tsok
懮郁,iu ut
涵洞,pong khang
内乱,lai luan
签呈,tshiam thing
大量,tua liong
彩券,tshai kuan
夫妻,hu tshe
舒服,song khuai
赚头,phinn thau
充分,tshiong tsiok
灵感,ling kam
绞架,tiau ke
静止,tiam tiam
芭蕾,pa le
怒骂,loo me
痛心,thong sim
拖工,thua kang
荷花,ho hue
专人,tsuan lin
传递,thuan tsiap
宗藩,tsong phuan
横行,huainn hing
马匹,ma phit
球竿,kiu tshe
表明,piau bing
米果,bi ko
代销,tai siau
搏命,piann mia
㑩㑩,kha a
原版,guan pan
多礼,to le
铁鞋,thih ue
商议,tshui tshiau
鱼鳍,hi tshi
定夺,tsam tseh
国税,kok sue
曾文,tsan bun
监造,kam tso
拦车,tsah tshia
增多,tsing to
传话,kia siann
群生,ban but
草塞,tsho that
遮雨,lia hoo
撤兵,the ping
拈签,thiu khau
起泡,khi pha
窒息,tu khui
预约,i iok
飞翔,khoo pue
侵犯,tshim huan
融合,iong hap
桂花,kui hue
肢体,ki the
骂街,lue ma
烦恼,huan lo
梳头,luah thau
图章,too tsiong
水银,tsui gin
逐月,tak geh
月底,gueh bue
粗糠,tshoo khng
笔筒,pit tang
产地,san te
背躬,pinn peh
早年,tsa ni
少数,sio soo
罪人,tsue lin
运势,un se
神话,sin ue
怒吼,hoo hau
妓院,hue king
鸣枪,bing tshing
坦诚,than sing
竣工,lok sing
论定,lun ting
点歌,tiam kua
出乎,tshut ti
凶犯,hiong huan
佯装,ke sian
地图,te too
基本,khi tue
要债,tho tsinn
激流,tshuah lau
对照,tui tsiau
孟浪,bong tong
丧葬,song tsong
重病,tang pinn
例年,siang ni
龟裂,pit hun
病例,pinn le
造反,tso huan
风凉,tshiu tshin
酥碎,ham sau
救命,kiu mia
淡化,tam hua
花红,sa ko
阿姨,i bu
谈和,kong ho
即时,tsik si
烧掉,sio tiau
诱因,khi in
爬山,tsiunn suann
拜拜,tsin hiunn
学馆,hak kuan
耐性,nai sim
海星,hai tshinn
诗意,si i
三藏,sam tsong
一次,tsit pai
窝棚,liau a
石棉,tsioh mi
旁观,pong kuan
淤塞,tsik tau
拿事,lang thau
湿疹,nua sian
线轴,ak a
土樟,tho tsiunn
赎身,siok sin
发冷,ka iam
庞大,pang tua
勤俭,tsue ke
刚好,tu ho
怕痛,sioh phe
留存,liu tsun
脱俗,li siok
打水,khip tsui
应当,ing tong
挨磨,e khue
水梨,lai a
结晶,kiat tsinn
柴刀,tsha keh
下地,loh tshan
重量,tiong liang
回转,he tsuan
补缀,poo thinn
保密,po bit
沟通,kau thong
恶劣,au tshau
快意,song sin
添货,thinn he
每次,kian pai
用餐,tang tu
过气,kue si
平仄,piann tseh
押后,phe be
氮气,tsit soo
鼯鼠,hui tshi
纲目,kang bok
刊出,khan tshut
手炉,he lang
就学,tsiu hak
偷窃,thau theh
打败,phah su
倒反,to tng
国内,kok lai
捕获,tsang tioh
遗教,ui kau
恶棍,ah pa
中奖,tiong tsiong
制图,tse too
称雄,tso ong
客席,kheh sik
潇洒,phiau phiat
别处,pat te
蜡像,lah siong
背时,thue si
蔫巴,mooh mooh
寺院,king bio
含恨,ham hun
成天,kui jit
女方,lu hong
判官,phuann kuann
黑点,oo tiam
膳宿,tsiah khia
脚下,kha tau
上诉,siong soo
宝珠,po tsu
身段,sin tuann
小卖,sio tiam
一早,thau tsa
退缩,to kiu
鲨鱼,sua hu
喝道,huah to
补助,pang tsan
够重,kau tang
瓦砾,hia phe
国外,kok gua
鸡帚,ke tshing
粗细,tshoo iu
尉迟,ut ti
传道,thuan to
出事,tioh that
奋志,hun tsi
币制,pe tse
南亚,lam a
麻布,juah poo
扣缴,khau kiau
捉妖,liah iau
财源,tsinn khang
理会,kuan thai
男家,lam ke
下课,suann oh
单单,tok tok
淫妇,hau bu
线卷,suann in
每天,tak kang
乱丢,luan tan
尿床,tshua jio
滑溜,kng tshinn
气馁,se khi
面罩,bin ta
钉鞋,hoo hia
葱头,iunn tshang
婶娘,a tsim
卖劲,he lat
溪底,khe te
砲声,phau siann
蒙哄,hang phian
断崖,suann kham
嘀咕,tshi tshu
无碍,bo gai
内侧,lai ian
镇定,tin ting
骷髅,koo loo
陪葬,pue tsong
苗木,tshiu tsai
防止,pi bian
后院,au tiann
𫚕鱼,tshinn kam
灶神,tsau kun
派出,phai tshut
弄铙,lang lau
闲月,sio geh
奔放,phun hong
画像,ue siong
狗鲛,kau sua
切脉,tsat meh
具备,ku pi
酵母,kann bo
寒噤,ban meh
过滤,ke ting
识别,sik piat
有效,ing hau
做完,tso liau
虫眼,tsiu khang
纸背,tsua pue
修补,siu poo
兼管,kiam kuan
具体,khu the
叫魂,hiam hun
松劲,sang khui
滞销,te siau
明说,bing sueh
副刊,hu khan
闰月,lun geh
幸福,hing hok
套布,tho poo
山洞,suann tong
费事,kau kang
漏气,siau hong
吃素,soo sit
盖仙,khue sian
怨气,hun khi
鼠窃,tshi tshat
缩短,sok te
恳谈,khun tam
工头,kang thau
恤贫,sut pin
发票,huat phio
虹鳟,tsun hu
名籍,mia phoo
纯熟,sun sik
投入,tau lip
机种,ki tsing
价差,ke kha
就里,lai li
窄小,ueh sio
竹子,tik a
效应,hau ing
上坟,pue bong
石女,thun bo
银元,ling gin
滤清,li tshing
嫁娶,sing tshin
除草,ti tshau
军火,kun he
犁地,lue tshan
火箸,he tu
痛心,tshueh sim
红椒,ang tsio
尿袋,jio te
包抄,pau tshau
虎鸫,tun ke
排卵,pang nng
珠宝,tsu po
推论,thui tshik
痱子,pui a
甘肃,kam siok
插话,tshah ue
甘露,kam loo
多谢,to sia
冬防,tong hong
好多,jua tse
房门,pang mng
甜瓜,tinn kue
街道,ke a
四湖,si oo
锯齿,ku khi
医师,sian sinn
解说,kai sueh
本来,kin pun
路数,tue ti
甘蔗,kam tsia
宝山,po suann
抓瞎,luan sa
俄国,ngoo kok
握紧,tenn an
瘦削,san so
帝君,te kun
年终,ni te
内讧,lue puan
人士,jin su
银座,gun tso
掌柜,siau kui
细则,sue tsik
隐密,un bit
田鼠,tshan tshi
沈淀,tim tue
蒸食,tshe loo
居丧,khia sng
走遍,kiann phian
要领,thau tsang
教职,kau tsit
生母,tsiann bo
固有,koo iu
牌照,pai tsiau
预先,i sian
堵车,that tshia
麻秸,mua ko
国书,kok su
候脉,hau meh
铅丹,hong tan
声威,siann ui
失神,bo sin
女星,lu tshinn
回礼,hue le
远地,uan te
枯干,koo ta
铙钹,na puah
晕厥,hun khi
鉴定,kam ting
墓丘,mua suann
枫港,hong kang
养生,iang sing
隔山,keh suann
套房,tho pang
放洋,kue huan
鞋跟,ue tinn
和平,sun sun
领事,ling su
慎言,liam tshui
学话,oh ue
逞凶,too hiong
锐减,jue kiam
过后,kue au
持家,sing ke
湿疹,sip tsin
青铜,tshenn tang
大要,tai iau
认定,jin ting
短剧,sio tshut
队伍,tin thau
中表,koo piau
铅笔,ian pit
蝎虎,sian thang
公函,kong ham
舞弊,bu pe
累犯,lui huan
侥幸,hiau hing
折寿,iau siu
协会,hiap hue
流笼,tian thui
逆差,gik tsha
卖完,bue uan
效果,hau ko
也好,ia ho
充裕,liong liong
对准,tui tsun
棺木,tua tshu
签子,tshiam a
园丁,hng ting
人口,thau tshui
批评,phue phing
朴风,phok hong
眼压,gan ap
顶多,kik ke
喜帖,hi thiap
奶名,ju mia
两亲,liong tshin
涵管,am khang
温暖,sio juah
相比,sann pi
奇袭,ki sip
件数,kiann soo
播种,ia tsing
放羊,pang iunn
罪犯,tsue huan
遶境,tshai kue
普查,phoo tsa
左侧,to ping
诗作,si tsok
艰苦,kan khoo
含意,ham i
字迹,ji jiah
小港,sio kang
白地,peh li
船缆,huann soh
执意,phian phian
益智,ik ti
定钱,tiann kim
滋事,tshong khang
铁鞋,thih e
淘汰,giat lau
游玩,tshit tho
掇弄,pinn lang
族长,tsok tiunn
猩红,tshim tho
工人,kang lang
税捐,se kuan
公审,kong sim
匪徒,thoo hui
磁砖,thai lu
底事,ti tai
亚太,a thai
唠叨,sam liam
蒙受,bong siu
荤油,bah iu
代替,tai the
呛著,tsak tioh
迟疑,tun tenn
异乡,gua hiong
担当,hu tam
便条,pian tiau
还阳,tng uah
蚯蚓,too in
庭讯,ting sin
赦罪,sia bian
省力,sing su
解恨,siau sim
常年,tng ni
奋力,hun lik
女佣,li iong
令堂,ling tong
通舖,khong tshng
刑事,hing su
祖先,tsoo sian
年号,ni ko
舆情,i lun
姨公,tiunn kong
报载,po tsai
招致,tsiau ti
高雅,bun li
嘹亮,hiong liong
伤疤,siong liah
姻缘,in ian
断后,tsann be
白鲢,lian a
筹设,tiu siat
相拼,sann piann
逃逸,liu suan
趁势,sun si
撞到,e tioh
斗争,too tsing
草莓,tshau m
汽缸,khi kng
诱导,khui phua
持分,khia hun
获救,hik kiu
乌鸦,hau tsiau
医书,i tsheh
顶针,tsiam tsainn
哽到,kenn tioh
拙荆,tsuat king
深浅,tshim khin
采取,tshai tshu
显露,huat puh
守寡,siu kuann
何须,ah tioh
停话,thing ue
近况,kin hong
开脸,khui bin
泥浆,thoo be
丹毒,tshiah tan
刈包,kuah pau
亲人,tshin lang
后爹,au pe
斋姑,ni koo
拐骗,sai long
增高,tsing ko
虚名,phu mia
糜烂,lok lang
概念,kai liam
洗面,sue bin
武将,bu tsiong
上口,sun tshui
石灰,tsioh hue
皮鼓,phiang koo
质量,tsit liong
横倒,than to
陪奁,ke tsng
功率,kong lut
车主,tshia tsu
盛行,si kiann
朴硝,phok siau
妖物,phai mih
不准,put tsun
指甲,tsing kah
阴毒,ang tok
得病,phua pinn
秋波,bak tsinn
南阳,lam iong
作祟,tsok kuai
姑妈,a koo
平常,jit siong
支撑,tsiap lik
会是,kam si
胆小,bo tann
查询,tsha sun
招呼,tsio hoo
人权,lin kuan
猛火,kin he
粗盐,tshoo iam
插曲,tshah khik
别称,the ho
移送,i sang
灵前,ling tsian
狡猾,kau kuai
蜗牛,loo le
曝露,phok loo
背檩,tiong tsiah
外型,gua hing
妒心,too sim
推销,thui siau
性命,sing bing
垫被,tshu phe
阴历,lan lang
柔情,liu tsing
相识,sik sai
山羌,suann kiunn
板刷,ue bin
上去,tsiunn khi
难过,kan khoo
焊工,han poo
满腔,mua khiong
内亲,lai tshin
老祖,lau tsoo
羊皮,iunn ko
芋圆,oo inn
凶暴,hiong pok
过失,kue sit
坠地,tui tue
母鸡,kue bo
针孔,tsiam khang
日落,lit loh
躲债,siam tse
拔锚,khi tiann
母鸡,kue bu
对症,tui loo
用料,iong liau
统战,thong tsian
气派,tua pan
黑人,oo lang
提出,theh tshut
二结,ji kiat
横心,sim huainn
雕花,tok hue
清幽,tshing iu
同意,tsan sing
必备,pit pi
空虚,khang hi
浑厚,hio tiong
够格,tsiunn keh
民国,bin kok
庞大,tua bong
蹬脚,tng kha
史馆,su kuan
口头,tshui khau
历险,lik hiam
清偿,hing tshing
公会,kong hue
岔气,hip hing
成双,sing siang
暖房,un pang
镜框,kiann khing
涵义,ham gi
繁殖,thuann tsing
美式,bi sik
回锅,kue thng
展翼,thi sit
依傍,i ua
减价,tsam ke
逼近,pik kin
洋菜,tshai ian
缺角,khih kak
扫兴,bue song
接通,tsiap thong
头家,thau ke
编辑,pian tsip
华丽,le tau
地雷,hue lui
出面,tshut bin
陵线,ling tsit
流行,tshinn tshioh
臭骂,thiam ma
闹鬼,tsue kui
长城,tng siann
实情,lue tsing
玉女,giok lu
逃脱,ke eh
笤帚,sau tshiu
均衡,kun hing
糜烂,lok kong
何事,ti tai
打岔,tshap tshui
巡缉,sun tsip
资本,he pun
痲疯,kiann lang
大嫂,sua so
疏解,siau thau
评语,phing gi
头里,tai sian
催命,pik mia
寄语,kia ue
打斜,tui tshuah
降雨,kang u
用度,khai iong
陪衬,tsue thue
抱恨,khioh hun
薪柴,tsha tshau
评等,phing ting
此刻,tsit tiap
裂口,lih tshui
格位,keh ui
例如,pi ju
折扣,kuah in
察觉,huat hian
援助,pang tsoo
崭新,tsuan sin
关于,kuan u
登上,ting siang
呆戆,gam bin
弹琴,tuann khim
补助,pang poo
疏松,lang sang
外婆,gua ma
明春,bing tshun
工场,kang tiunn
郁金,it kim
趣谈,tshio khue
家电,ka tian
铲蹚,pe ling
记挂,siau liam
嘲笑,gioh tshio
开口,khai khau
以后,liau au
黛绿,tim lik
斑鱵,tsui tsiam
打仗,sio tsian
竞技,king ki
夜场,am tiunn
领港,ling kang
孱头,lan mua
猥琐,pi ui
译注,ik tsu
网鞍,bang uann
偏偏,kan na
栋梁,tong liong
志士,tsi su
弱质,lam sin
导电,ke tian
发狠,khi hiong
伴嫁,phuann ke
攀岩,phan giam
南开,lam khai
芜菁,bu tshinn
推算,thui sng
跌坐,tng ku
风口,hong kang
雄伟,hiong ui
损失,sun sit
把脉,tsat meh
狡猾,kau hing
买回,bue hue
行使,hing su
山蓼,khoo tshau
沾手,bak tshiu
接任,tsiap jim
书屋,tsheh pang
挽联,lian tshai
祭坟,pai boo
枪战,tshiunn tsian
开衩,khui ku
釜山,hu san
信息,sin sit
科系,kho he
相克,siong khik
指证,tsi tsing
都会,too hue
横写,huainn sia
嘴角,tshui be
乳罩,ni tau
庇护,am oo
番号,huan ho
瞄到,gan tioh
耽搁,tam koh
主菜,tsu tshai
扬帆,khi phang
改订,kai ting
主张,tsu ngoo
卖完,be uan
泽𫛭,pak iau
住院,jip inn
诚心,sing i
受凉,kam tioh
真的,tsin tsiann
放下,pang he
老话,ku ue
繁衍,sinn thuann
独步,tok poo
坏掉,hai khu
恶果,ok ko
意近,ua i
再发,ting khi
干料,ta liau
迁入,tshian lip
原意,guan i
便血,pang hueh
利市,li tshi
刘邦,lau pang
海豹,hai pa
甚而,sim ji
总角,kak tsang
恋歌,luan kua
经费,king hui
股长,koo tiunn
处置,liau li
台风,hi sin
笑容,tshio iong
拜辞,sio si
钓友,tio iu
打卦,pat kua
保管,tsiau kuan
消耗,siau sih
攻占,kong tsiam
时日,si lit
犯疑,tshinn gi
餐具,uann ti
喜乐,hi lok
华沙,hua sa
腐乳,tau lu
伶俐,huat phuat
挺立,khia tit
剑山,hue tshiam
北而,pak si
雅致,nga khi
爱哭,ai khau
赫然,hik jian
地域,te hik
存记,tsun ki
戒备,hong pi
尽失,tsin sit
蜡油,tsik lui
提早,tsin tsing
酒意,tsiu khui
拦截,nua tsah
鸡腿,ke bong
叔母,a tsim
何必,ho pit
乡里,koo hiong
花蜜,phang bit
赌徒,kiau sian
同享,tong hiong
消暑,the liang
添加,ka thiam
陛下,pe ha
屋宇,tshu theh
矿山,khong suann
橡胶,tshiunn ni
前进,tsian tsin
金鸡,kim ke
行礼,kiann le
分葱,tshang thau
慧眼,hui gan
旨意,tsi i
更替,the uann
长裙,tng kun
抵挡,ti tong
大哥,tua hiann
废话,ue sai
回答,he tap
转往,tsuan ong
富余,liong sing
南澳,lam o
放牛,khuann gu
鼻梁,phinn uann
强要,kiong beh
鸡胃,kue kian
留住,lau leh
出汗,tshut kuann
折成,tsiat sing
为难,ui lan
扭到,uainn tioh
刷牙,sue tshui
草屯,tshau tun
丰盛,pong phai
林投,na tau
改编,kai pian
回信,hue tap
仓颉,tshong khiat
露怯,lau khui
胆量,iong khi
钓具,tio ku
阴骘,im tik
额头,hiah thau
乏才,tsai soo
嘴唇,tshui tun
末名,bue mia
排斥,liah gua
贴切,ba tah
孱头,nng bu
污水,u tsui
